Timestamp,CameraLocation,Emotion,Confidence
2025-04-05 14:14:44.810,Museum Entrance,Neutral,0.39063820242881775
2025-04-05 14:14:45.042,Museum Entrance,Neutral,0.5016879439353943
2025-04-05 14:14:45.277,Museum Entrance,Neutral,0.36209791898727417
2025-04-05 14:14:45.512,Museum Entrance,Neutral,0.5538213849067688
2025-04-05 14:14:45.740,Museum Entrance,Neutral,0.401053786277771
2025-04-05 14:14:45.969,Museum Entrance,Neutral,0.5521101355552673
2025-04-05 14:14:46.202,Museum Entrance,Neutral,0.5819708108901978
2025-04-05 14:14:46.440,Museum Entrance,Neutral,0.4517868161201477
2025-04-05 14:14:46.670,Museum Entrance,Neutral,0.5308951735496521
2025-04-05 14:14:46.930,Museum Entrance,Neutral,0.38305214047431946
2025-04-05 14:14:47.181,Museum Entrance,Neutral,0.46060746908187866
2025-04-05 14:14:47.414,Museum Entrance,Neutral,0.5193083882331848
2025-04-05 14:14:47.638,Museum Entrance,Neutral,0.41481396555900574
2025-04-05 14:14:47.866,Museum Entrance,Neutral,0.3291158080101013
2025-04-05 14:14:48.095,Museum Entrance,Neutral,0.46851974725723267
2025-04-05 14:14:48.331,Museum Entrance,Neutral,0.4887688159942627
2025-04-05 14:14:48.569,Museum Entrance,Neutral,0.340573787689209
2025-04-05 14:14:48.802,Museum Entrance,Neutral,0.47758203744888306
2025-04-05 14:14:49.027,Museum Entrance,Fear,0.38616475462913513
2025-04-05 14:14:49.259,Museum Entrance,Neutral,0.3159463703632355
2025-04-05 14:14:49.501,Museum Entrance,Angry,0.33658671379089355
2025-04-05 14:14:49.502,Museum Entrance,Fear,0.3340243697166443
2025-04-05 14:14:49.737,Museum Entrance,Angry,0.29532307386398315
2025-04-05 14:14:49.737,Museum Entrance,Neutral,0.4802286922931671
2025-04-05 14:14:49.979,Museum Entrance,Neutral,0.5278480648994446
2025-04-05 14:14:50.216,Museum Entrance,Angry,0.3217574656009674
2025-04-05 14:14:50.217,Museum Entrance,Neutral,0.4253773093223572
2025-04-05 14:14:50.467,Museum Entrance,Neutral,0.617679238319397
2025-04-05 14:14:50.690,Museum Entrance,Angry,0.3470766246318817
2025-04-05 14:14:50.691,Museum Entrance,Neutral,0.578550398349762
